lote	time	secs	mem	CPU	GB
1	20220601 214018	0	48	62	15999
1	20220601 214523	305	48	2	15999
1	20220601 214958	580	54	0	15999
1	20220601 215003	585	66	15	15999
1	20220601 215008	590	80	15	15999
1	20220601 215013	595	94	15	15999
1	20220601 215018	600	99	16	15999
1	20220601 215023	605	36	6	15999
1	20220601 215528	910	36	0	15999
1	20220601 220033	1215	36	0	15999
1	20220601 220538	1520	36	0	15999
1	20220601 220623	1565	43	1	15999
1	20220601 220628	1570	55	15	15999
1	20220601 220633	1575	68	15	15999
1	20220601 220638	1580	81	15	15999
1	20220601 220643	1585	95	15	15999
1	20220601 220648	1590	94	17	15999
1	20220601 220653	1595	28	5	15999
1	20220601 221158	1900	28	0	15999
1	20220601 221703	2205	28	0	15999
2	20220705 032044	0	1	6	128822
2	20220705 032359	195	12	8	128822
2	20220705 032409	205	19	49	128822
2	20220705 032419	215	18	22	128822
2	20220705 032429	225	13	34	128822
2	20220705 032444	240	21	17	128822
2	20220705 032449	245	26	12	128822
2	20220705 032454	250	31	12	128822
2	20220705 032959	555	39	93	128822
2	20220705 033504	860	39	99	128822
2	20220705 033639	955	32	20	128822
2	20220705 033644	960	37	12	128822
2	20220705 034149	1265	39	94	128822
2	20220705 034654	1570	39	88	128822
2	20220705 034734	1610	15	1	128822
