lote	time	secs	mem	CPU	GB
1	20220601 214018	0	48	62	15999
1	20220601 214523	305	48	2	15999
1	20220601 214958	580	54	0	15999
1	20220601 215003	585	66	15	15999
1	20220601 215008	590	80	15	15999
1	20220601 215013	595	94	15	15999
1	20220601 215018	600	99	16	15999
1	20220601 215023	605	36	6	15999
1	20220601 215528	910	36	0	15999
1	20220601 220033	1215	36	0	15999
1	20220601 220538	1520	36	0	15999
1	20220601 220623	1565	43	1	15999
1	20220601 220628	1570	55	15	15999
1	20220601 220633	1575	68	15	15999
1	20220601 220638	1580	81	15	15999
1	20220601 220643	1585	95	15	15999
1	20220601 220648	1590	94	17	15999
1	20220601 220653	1595	28	5	15999
1	20220601 221158	1900	28	0	15999
1	20220601 221703	2205	28	0	15999
2	20220706 142520	0	1	8	128822
2	20220706 142910	230	11	6	128822
2	20220706 142945	265	20	25	128822
2	20220706 142950	270	25	12	128822
2	20220706 143455	575	29	76	128822
2	20220706 143845	805	30	95	128822
2	20220706 144235	1035	31	96	128822
2	20220706 144700	1300	32	96	128822
2	20220706 145050	1530	33	95	128822
2	20220706 145515	1795	35	95	128822
2	20220706 145900	2020	36	95	128822
2	20220706 150250	2250	37	95	128822
2	20220706 150415	2335	28	39	128822
2	20220706 150420	2340	20	2	128822
