lote	time	secs	mem	CPU	GB
1	20220601 214018	0	48	62	15999
1	20220601 214523	305	48	2	15999
1	20220601 214958	580	54	0	15999
1	20220601 215003	585	66	15	15999
1	20220601 215008	590	80	15	15999
1	20220601 215013	595	94	15	15999
1	20220601 215018	600	99	16	15999
1	20220601 215023	605	36	6	15999
1	20220601 215528	910	36	0	15999
1	20220601 220033	1215	36	0	15999
1	20220601 220538	1520	36	0	15999
1	20220601 220623	1565	43	1	15999
1	20220601 220628	1570	55	15	15999
1	20220601 220633	1575	68	15	15999
1	20220601 220638	1580	81	15	15999
1	20220601 220643	1585	95	15	15999
1	20220601 220648	1590	94	17	15999
1	20220601 220653	1595	28	5	15999
1	20220601 221158	1900	28	0	15999
1	20220601 221703	2205	28	0	15999
2	20220713 025226	0	1	6	257750
2	20220713 025731	305	8	33	257750
2	20220713 030236	610	9	79	257750
2	20220713 030741	915	10	97	257750
2	20220713 031246	1220	12	96	257750
2	20220713 031751	1525	14	95	257750
2	20220713 031911	1605	10	96	257750
2	20220713 032416	1910	12	96	257750
2	20220713 032921	2215	14	96	257750
2	20220713 033406	2500	12	96	257750
2	20220713 033911	2805	13	96	257750
2	20220713 034416	3110	16	96	257750
2	20220713 034921	3415	13	96	257750
2	20220713 035426	3720	15	97	257750
2	20220713 035931	4025	17	96	257750
2	20220713 040206	4180	14	95	257750
2	20220713 040711	4485	15	97	257750
2	20220713 041216	4790	17	96	257750
2	20220713 041656	5070	15	96	257750
2	20220713 042201	5375	17	96	257750
2	20220713 042706	5680	19	96	257750
2	20220713 043006	5860	16	96	257750
2	20220713 043441	6135	10	77	257750
2	20220713 043446	6140	2	4	257750
