lote	time	secs	mem	CPU	GB
1	20220601 214018	0	48	62	15999
1	20220601 214523	305	48	2	15999
1	20220601 214958	580	54	0	15999
1	20220601 215003	585	66	15	15999
1	20220601 215008	590	80	15	15999
1	20220601 215013	595	94	15	15999
1	20220601 215018	600	99	16	15999
1	20220601 215023	605	36	6	15999
1	20220601 215528	910	36	0	15999
1	20220601 220033	1215	36	0	15999
1	20220601 220538	1520	36	0	15999
1	20220601 220623	1565	43	1	15999
1	20220601 220628	1570	55	15	15999
1	20220601 220633	1575	68	15	15999
1	20220601 220638	1580	81	15	15999
1	20220601 220643	1585	95	15	15999
1	20220601 220648	1590	94	17	15999
1	20220601 220653	1595	28	5	15999
1	20220601 221158	1900	28	0	15999
1	20220601 221703	2205	28	0	15999
2	20220706 143607	0	1	6	128822
2	20220706 143842	155	12	11	128822
2	20220706 143852	165	19	48	128822
2	20220706 143912	185	12	27	128822
2	20220706 143927	200	20	17	128822
2	20220706 143932	205	25	12	128822
2	20220706 143937	210	30	12	128822
2	20220706 144342	455	28	67	128822
2	20220706 144347	460	34	12	128822
2	20220706 144852	765	36	73	128822
2	20220706 144857	770	4	7	128822
